Initial GenePool BestElite's Error Rate: 11.0%

   1-th training, BestElite's ErrorRate: 11.0%
1162-th training, BestElite's ErrorRate: 10.0%
1163-th training, BestElite's ErrorRate: 10.0%
1164-th training, BestElite's ErrorRate: 10.0%
1165-th training, BestElite's ErrorRate: 10.0%
1166-th training, BestElite's ErrorRate: 10.0%
1167-th training, BestElite's ErrorRate: 10.0%
1168-th training, BestElite's ErrorRate: 10.0%
1169-th training, BestElite's ErrorRate: 10.0%
1170-th training, BestElite's ErrorRate: 10.0%
1171-th training, BestElite's ErrorRate: 10.0%
1172-th training, BestElite's ErrorRate: 10.0%
1173-th training, BestElite's ErrorRate: 10.0%
1174-th training, BestElite's ErrorRate: 10.0%
1175-th training, BestElite's ErrorRate: 10.0%
1176-th training, BestElite's ErrorRate: 10.0%
1177-th training, BestElite's ErrorRate: 10.0%
1178-th training, BestElite's ErrorRate: 10.0%
1179-th training, BestElite's ErrorRate: 10.0%
1180-th training, BestElite's ErrorRate: 10.0%
1181-th training, BestElite's ErrorRate: 10.0%
1182-th training, BestElite's ErrorRate: 10.0%
1183-th training, BestElite's ErrorRate: 10.0%
1184-th training, BestElite's ErrorRate: 10.0%
1185-th training, BestElite's ErrorRate: 10.0%
1186-th training, BestElite's ErrorRate: 10.0%
1187-th training, BestElite's ErrorRate: 10.0%
1188-th training, BestElite's ErrorRate: 10.0%
1189-th training, BestElite's ErrorRate: 10.0%
1190-th training, BestElite's ErrorRate: 10.0%
1191-th training, BestElite's ErrorRate: 10.0%
1192-th training, BestElite's ErrorRate: 10.0%
1193-th training, BestElite's ErrorRate: 10.0%
1194-th training, BestElite's ErrorRate: 10.0%
1195-th training, BestElite's ErrorRate: 10.0%
1196-th training, BestElite's ErrorRate: 10.0%
1197-th training, BestElite's ErrorRate: 10.0%
1198-th training, BestElite's ErrorRate: 10.0%
1199-th training, BestElite's ErrorRate: 10.0%
1200-th training, BestElite's ErrorRate: 10.0%
1201-th training, BestElite's ErrorRate: 10.0%
1202-th training, BestElite's ErrorRate: 10.0%
1203-th training, BestElite's ErrorRate: 10.0%
1204-th training, BestElite's ErrorRate: 10.0%
1205-th training, BestElite's ErrorRate: 10.0%
1206-th training, BestElite's ErrorRate: 10.0%
1207-th training, BestElite's ErrorRate: 10.0%
1208-th training, BestElite's ErrorRate: 10.0%
1209-th training, BestElite's ErrorRate: 10.0%
1210-th training, BestElite's ErrorRate: 10.0%
1211-th training, BestElite's ErrorRate: 10.0%
1212-th training, BestElite's ErrorRate: 10.0%
1213-th training, BestElite's ErrorRate: 10.0%
1214-th training, BestElite's ErrorRate: 10.0%
1215-th training, BestElite's ErrorRate: 10.0%
1216-th training, BestElite's ErrorRate: 10.0%
1217-th training, BestElite's ErrorRate: 10.0%
1218-th training, BestElite's ErrorRate: 10.0%
1219-th training, BestElite's ErrorRate: 10.0%
1220-th training, BestElite's ErrorRate: 10.0%
1221-th training, BestElite's ErrorRate: 10.0%
1222-th training, BestElite's ErrorRate: 10.0%
1223-th training, BestElite's ErrorRate: 10.0%
1224-th training, BestElite's ErrorRate: 10.0%
1225-th training, BestElite's ErrorRate: 10.0%
1226-th training, BestElite's ErrorRate: 10.0%
1227-th training, BestElite's ErrorRate: 10.0%
1228-th training, BestElite's ErrorRate: 10.0%
1229-th training, BestElite's ErrorRate: 10.0%
1230-th training, BestElite's ErrorRate: 10.0%
1231-th training, BestElite's ErrorRate: 10.0%
1232-th training, BestElite's ErrorRate: 10.0%
1233-th training, BestElite's ErrorRate: 10.0%
1234-th training, BestElite's ErrorRate: 10.0%
1235-th training, BestElite's ErrorRate: 10.0%
1236-th training, BestElite's ErrorRate: 10.0%
1237-th training, BestElite's ErrorRate: 10.0%
1238-th training, BestElite's ErrorRate: 10.0%
1239-th training, BestElite's ErrorRate: 10.0%
1240-th training, BestElite's ErrorRate: 10.0%
1241-th training, BestElite's ErrorRate: 10.0%
1242-th training, BestElite's ErrorRate: 10.0%
1243-th training, BestElite's ErrorRate: 10.0%
1244-th training, BestElite's ErrorRate: 10.0%
1245-th training, BestElite's ErrorRate: 10.0%
1246-th training, BestElite's ErrorRate: 10.0%
1247-th training, BestElite's ErrorRate: 10.0%
1248-th training, BestElite's ErrorRate: 10.0%
1249-th training, BestElite's ErrorRate: 10.0%
1250-th training, BestElite's ErrorRate: 10.0%
1251-th training, BestElite's ErrorRate: 10.0%
1252-th training, BestElite's ErrorRate: 10.0%
1253-th training, BestElite's ErrorRate: 10.0%
1254-th training, BestElite's ErrorRate: 10.0%
1255-th training, BestElite's ErrorRate: 10.0%
1256-th training, BestElite's ErrorRate: 10.0%
1257-th training, BestElite's ErrorRate: 10.0%
1258-th training, BestElite's ErrorRate: 10.0%
1259-th training, BestElite's ErrorRate: 10.0%
1260-th training, BestElite's ErrorRate: 10.0%
1261-th training, BestElite's ErrorRate: 10.0%
1262-th training, BestElite's ErrorRate: 10.0%
1263-th training, BestElite's ErrorRate: 10.0%
1264-th training, BestElite's ErrorRate: 10.0%
1265-th training, BestElite's ErrorRate: 10.0%
1266-th training, BestElite's ErrorRate: 10.0%
1267-th training, BestElite's ErrorRate: 10.0%
1268-th training, BestElite's ErrorRate: 10.0%
1269-th training, BestElite's ErrorRate: 10.0%
1270-th training, BestElite's ErrorRate: 10.0%
1271-th training, BestElite's ErrorRate: 10.0%
1272-th training, BestElite's ErrorRate: 10.0%
1273-th training, BestElite's ErrorRate: 10.0%
1274-th training, BestElite's ErrorRate: 10.0%
1275-th training, BestElite's ErrorRate: 10.0%
1276-th training, BestElite's ErrorRate: 10.0%
1277-th training, BestElite's ErrorRate: 10.0%
1278-th training, BestElite's ErrorRate: 10.0%
1279-th training, BestElite's ErrorRate: 10.0%
1280-th training, BestElite's ErrorRate: 10.0%
1281-th training, BestElite's ErrorRate: 10.0%
1282-th training, BestElite's ErrorRate: 10.0%
1283-th training, BestElite's ErrorRate: 10.0%
1284-th training, BestElite's ErrorRate: 10.0%
1285-th training, BestElite's ErrorRate: 10.0%
1286-th training, BestElite's ErrorRate: 10.0%
1287-th training, BestElite's ErrorRate: 10.0%
1288-th training, BestElite's ErrorRate: 10.0%
1289-th training, BestElite's ErrorRate: 10.0%
1290-th training, BestElite's ErrorRate: 10.0%
1291-th training, BestElite's ErrorRate: 10.0%
1292-th training, BestElite's ErrorRate: 10.0%
1293-th training, BestElite's ErrorRate: 10.0%
1294-th training, BestElite's ErrorRate: 10.0%
1295-th training, BestElite's ErrorRate: 10.0%
1296-th training, BestElite's ErrorRate: 10.0%
1297-th training, BestElite's ErrorRate: 10.0%
1298-th training, BestElite's ErrorRate: 10.0%
1299-th training, BestElite's ErrorRate: 10.0%
1300-th training, BestElite's ErrorRate: 10.0%
1301-th training, BestElite's ErrorRate: 10.0%
1302-th training, BestElite's ErrorRate: 10.0%
1303-th training, BestElite's ErrorRate: 10.0%
1304-th training, BestElite's ErrorRate: 10.0%
1305-th training, BestElite's ErrorRate: 10.0%
1306-th training, BestElite's ErrorRate: 10.0%
1307-th training, BestElite's ErrorRate: 10.0%
1308-th training, BestElite's ErrorRate: 10.0%
1309-th training, BestElite's ErrorRate: 10.0%
1310-th training, BestElite's ErrorRate: 10.0%
1311-th training, BestElite's ErrorRate: 10.0%
1312-th training, BestElite's ErrorRate: 10.0%
1313-th training, BestElite's ErrorRate: 10.0%
1314-th training, BestElite's ErrorRate: 10.0%
1315-th training, BestElite's ErrorRate: 10.0%
1316-th training, BestElite's ErrorRate: 10.0%
1317-th training, BestElite's ErrorRate: 10.0%
1318-th training, BestElite's ErrorRate: 10.0%
1319-th training, BestElite's ErrorRate: 10.0%
1320-th training, BestElite's ErrorRate: 10.0%
1321-th training, BestElite's ErrorRate: 10.0%
1322-th training, BestElite's ErrorRate: 11.0%
1323-th training, BestElite's ErrorRate: 11.0%
1324-th training, BestElite's ErrorRate: 11.0%
1325-th training, BestElite's ErrorRate: 11.0%
1326-th training, BestElite's ErrorRate: 11.0%
1327-th training, BestElite's ErrorRate: 11.0%
1328-th training, BestElite's ErrorRate: 10.0%
1329-th training, BestElite's ErrorRate: 11.0%
1330-th training, BestElite's ErrorRate: 11.0%
1331-th training, BestElite's ErrorRate: 11.0%
1332-th training, BestElite's ErrorRate: 11.0%
1333-th training, BestElite's ErrorRate: 11.0%
1334-th training, BestElite's ErrorRate: 11.0%
1335-th training, BestElite's ErrorRate: 11.0%
1336-th training, BestElite's ErrorRate: 11.0%
1337-th training, BestElite's ErrorRate: 11.0%
1338-th training, BestElite's ErrorRate: 11.0%
1339-th training, BestElite's ErrorRate: 11.0%
1340-th training, BestElite's ErrorRate: 11.0%
1341-th training, BestElite's ErrorRate: 11.0%
1342-th training, BestElite's ErrorRate: 11.0%
1343-th training, BestElite's ErrorRate: 11.0%
1344-th training, BestElite's ErrorRate: 11.0%
1345-th training, BestElite's ErrorRate: 11.0%
1346-th training, BestElite's ErrorRate: 11.0%
1347-th training, BestElite's ErrorRate: 11.0%
1348-th training, BestElite's ErrorRate: 11.0%
1349-th training, BestElite's ErrorRate: 11.0%
1350-th training, BestElite's ErrorRate: 11.0%
1351-th training, BestElite's ErrorRate: 11.0%
1352-th training, BestElite's ErrorRate: 11.0%
1353-th training, BestElite's ErrorRate: 11.0%
1354-th training, BestElite's ErrorRate: 11.0%
1355-th training, BestElite's ErrorRate: 11.0%
1356-th training, BestElite's ErrorRate: 11.0%
1357-th training, BestElite's ErrorRate: 11.0%
1358-th training, BestElite's ErrorRate: 11.0%
1359-th training, BestElite's ErrorRate: 11.0%
1360-th training, BestElite's ErrorRate: 11.0%
1361-th training, BestElite's ErrorRate: 11.0%
1362-th training, BestElite's ErrorRate: 11.0%
1363-th training, BestElite's ErrorRate: 11.0%
1364-th training, BestElite's ErrorRate: 11.0%
1365-th training, BestElite's ErrorRate: 11.0%
1366-th training, BestElite's ErrorRate: 11.0%
1367-th training, BestElite's ErrorRate: 11.0%
1368-th training, BestElite's ErrorRate: 11.0%
1369-th training, BestElite's ErrorRate: 11.0%
1370-th training, BestElite's ErrorRate: 11.0%
1371-th training, BestElite's ErrorRate: 11.0%
1372-th training, BestElite's ErrorRate: 11.0%
1373-th training, BestElite's ErrorRate: 11.0%
1374-th training, BestElite's ErrorRate: 11.0%
1375-th training, BestElite's ErrorRate: 11.0%
1376-th training, BestElite's ErrorRate: 11.0%
1377-th training, BestElite's ErrorRate: 11.0%
1378-th training, BestElite's ErrorRate: 11.0%
1379-th training, BestElite's ErrorRate: 11.0%
1380-th training, BestElite's ErrorRate: 11.0%
1381-th training, BestElite's ErrorRate: 11.0%
1382-th training, BestElite's ErrorRate: 11.0%
1383-th training, BestElite's ErrorRate: 11.0%
1384-th training, BestElite's ErrorRate: 11.0%
1385-th training, BestElite's ErrorRate: 11.0%
1386-th training, BestElite's ErrorRate: 11.0%
1387-th training, BestElite's ErrorRate: 11.0%
1388-th training, BestElite's ErrorRate: 11.0%
1389-th training, BestElite's ErrorRate: 11.0%
1390-th training, BestElite's ErrorRate: 11.0%
1391-th training, BestElite's ErrorRate: 11.0%
1392-th training, BestElite's ErrorRate: 11.0%
1393-th training, BestElite's ErrorRate: 11.0%
1394-th training, BestElite's ErrorRate: 11.0%
1395-th training, BestElite's ErrorRate: 11.0%
1396-th training, BestElite's ErrorRate: 11.0%
1397-th training, BestElite's ErrorRate: 11.0%
1398-th training, BestElite's ErrorRate: 11.0%
1399-th training, BestElite's ErrorRate: 11.0%
1400-th training, BestElite's ErrorRate: 11.0%
1401-th training, BestElite's ErrorRate: 11.0%
1402-th training, BestElite's ErrorRate: 11.0%
1403-th training, BestElite's ErrorRate: 11.0%
1404-th training, BestElite's ErrorRate: 11.0%
1405-th training, BestElite's ErrorRate: 11.0%
1406-th training, BestElite's ErrorRate: 11.0%
1407-th training, BestElite's ErrorRate: 12.0%
1408-th training, BestElite's ErrorRate: 12.0%
1409-th training, BestElite's ErrorRate: 12.0%
1410-th training, BestElite's ErrorRate: 12.0%
1411-th training, BestElite's ErrorRate: 12.0%
1412-th training, BestElite's ErrorRate: 12.0%
1413-th training, BestElite's ErrorRate: 12.0%
1414-th training, BestElite's ErrorRate: 12.0%
1415-th training, BestElite's ErrorRate: 12.0%
1416-th training, BestElite's ErrorRate: 12.0%
1417-th training, BestElite's ErrorRate: 12.0%
1418-th training, BestElite's ErrorRate: 12.0%
1419-th training, BestElite's ErrorRate: 12.0%
1420-th training, BestElite's ErrorRate: 12.0%
1421-th training, BestElite's ErrorRate: 12.0%
1422-th training, BestElite's ErrorRate: 12.0%
1423-th training, BestElite's ErrorRate: 12.0%
1424-th training, BestElite's ErrorRate: 11.0%
1425-th training, BestElite's ErrorRate: 11.0%
1426-th training, BestElite's ErrorRate: 11.0%
1427-th training, BestElite's ErrorRate: 11.0%
1428-th training, BestElite's ErrorRate: 11.0%
1429-th training, BestElite's ErrorRate: 11.0%
1430-th training, BestElite's ErrorRate: 11.0%
1431-th training, BestElite's ErrorRate: 11.0%
1432-th training, BestElite's ErrorRate: 11.0%
1433-th training, BestElite's ErrorRate: 11.0%
1434-th training, BestElite's ErrorRate: 11.0%
1435-th training, BestElite's ErrorRate: 11.0%
1436-th training, BestElite's ErrorRate: 11.0%
1437-th training, BestElite's ErrorRate: 11.0%
1438-th training, BestElite's ErrorRate: 11.0%
1439-th training, BestElite's ErrorRate: 11.0%
1440-th training, BestElite's ErrorRate: 11.0%
1441-th training, BestElite's ErrorRate: 11.0%
1442-th training, BestElite's ErrorRate: 11.0%
1443-th training, BestElite's ErrorRate: 11.0%
1444-th training, BestElite's ErrorRate: 11.0%
1445-th training, BestElite's ErrorRate: 11.0%
1446-th training, BestElite's ErrorRate: 11.0%
1447-th training, BestElite's ErrorRate: 11.0%
1448-th training, BestElite's ErrorRate: 13.0%
1449-th training, BestElite's ErrorRate: 13.0%
1450-th training, BestElite's ErrorRate: 13.0%
1451-th training, BestElite's ErrorRate: 13.0%
1452-th training, BestElite's ErrorRate: 13.0%
1453-th training, BestElite's ErrorRate: 13.0%
1454-th training, BestElite's ErrorRate: 13.0%
1455-th training, BestElite's ErrorRate: 13.0%
1456-th training, BestElite's ErrorRate: 13.0%
1457-th training, BestElite's ErrorRate: 13.0%
1458-th training, BestElite's ErrorRate: 13.0%
1459-th training, BestElite's ErrorRate: 13.0%
1460-th training, BestElite's ErrorRate: 13.0%
1461-th training, BestElite's ErrorRate: 13.0%
1462-th training, BestElite's ErrorRate: 13.0%
1463-th training, BestElite's ErrorRate: 13.0%
1464-th training, BestElite's ErrorRate: 13.0%
1465-th training, BestElite's ErrorRate: 13.0%
1466-th training, BestElite's ErrorRate: 13.0%
1467-th training, BestElite's ErrorRate: 13.0%
1468-th training, BestElite's ErrorRate: 13.0%
1469-th training, BestElite's ErrorRate: 13.0%
1470-th training, BestElite's ErrorRate: 13.0%
1471-th training, BestElite's ErrorRate: 13.0%
1472-th training, BestElite's ErrorRate: 13.0%
1473-th training, BestElite's ErrorRate: 13.0%
1474-th training, BestElite's ErrorRate: 12.0%
1475-th training, BestElite's ErrorRate: 12.0%
1476-th training, BestElite's ErrorRate: 12.0%
1477-th training, BestElite's ErrorRate: 12.0%
1478-th training, BestElite's ErrorRate: 12.0%
1479-th training, BestElite's ErrorRate: 12.0%
1480-th training, BestElite's ErrorRate: 12.0%
1481-th training, BestElite's ErrorRate: 12.0%
1482-th training, BestElite's ErrorRate: 12.0%
1483-th training, BestElite's ErrorRate: 12.0%
1484-th training, BestElite's ErrorRate: 12.0%
1485-th training, BestElite's ErrorRate: 12.0%
1486-th training, BestElite's ErrorRate: 12.0%
1487-th training, BestElite's ErrorRate: 12.0%
1488-th training, BestElite's ErrorRate: 12.0%
1489-th training, BestElite's ErrorRate: 12.0%
1490-th training, BestElite's ErrorRate: 12.0%
1491-th training, BestElite's ErrorRate: 12.0%
1492-th training, BestElite's ErrorRate: 12.0%
1493-th training, BestElite's ErrorRate: 12.0%
1494-th training, BestElite's ErrorRate: 12.0%
1495-th training, BestElite's ErrorRate: 12.0%
1496-th training, BestElite's ErrorRate: 12.0%
1497-th training, BestElite's ErrorRate: 12.0%
1498-th training, BestElite's ErrorRate: 12.0%
1499-th training, BestElite's ErrorRate: 12.0%
1500-th training, BestElite's ErrorRate: 12.0%
1501-th training, BestElite's ErrorRate: 12.0%
1502-th training, BestElite's ErrorRate: 12.0%
1503-th training, BestElite's ErrorRate: 12.0%
1504-th training, BestElite's ErrorRate: 12.0%
1505-th training, BestElite's ErrorRate: 12.0%
1506-th training, BestElite's ErrorRate: 12.0%
1507-th training, BestElite's ErrorRate: 12.0%
1508-th training, BestElite's ErrorRate: 12.0%
1509-th training, BestElite's ErrorRate: 12.0%
1510-th training, BestElite's ErrorRate: 12.0%
1511-th training, BestElite's ErrorRate: 12.0%
1512-th training, BestElite's ErrorRate: 12.0%
1513-th training, BestElite's ErrorRate: 12.0%
1514-th training, BestElite's ErrorRate: 12.0%
1515-th training, BestElite's ErrorRate: 12.0%
1516-th training, BestElite's ErrorRate: 12.0%
1517-th training, BestElite's ErrorRate: 12.0%
1518-th training, BestElite's ErrorRate: 12.0%
1519-th training, BestElite's ErrorRate: 12.0%
1520-th training, BestElite's ErrorRate: 12.0%
1521-th training, BestElite's ErrorRate: 12.0%
1522-th training, BestElite's ErrorRate: 12.0%
1523-th training, BestElite's ErrorRate: 12.0%
1524-th training, BestElite's ErrorRate: 12.0%
1525-th training, BestElite's ErrorRate: 12.0%
1526-th training, BestElite's ErrorRate: 12.0%
1527-th training, BestElite's ErrorRate: 12.0%
1528-th training, BestElite's ErrorRate: 12.0%
1529-th training, BestElite's ErrorRate: 12.0%
1530-th training, BestElite's ErrorRate: 12.0%
1531-th training, BestElite's ErrorRate: 12.0%
1532-th training, BestElite's ErrorRate: 12.0%
1533-th training, BestElite's ErrorRate: 12.0%
1534-th training, BestElite's ErrorRate: 12.0%
1535-th training, BestElite's ErrorRate: 12.0%
1536-th training, BestElite's ErrorRate: 12.0%
1537-th training, BestElite's ErrorRate: 12.0%
1538-th training, BestElite's ErrorRate: 12.0%
1539-th training, BestElite's ErrorRate: 12.0%
1540-th training, BestElite's ErrorRate: 12.0%
1541-th training, BestElite's ErrorRate: 12.0%
1542-th training, BestElite's ErrorRate: 12.0%
1543-th training, BestElite's ErrorRate: 11.0%
1544-th training, BestElite's ErrorRate: 11.0%
1545-th training, BestElite's ErrorRate: 11.0%
1546-th training, BestElite's ErrorRate: 11.0%
1547-th training, BestElite's ErrorRate: 11.0%
1548-th training, BestElite's ErrorRate: 11.0%
1549-th training, BestElite's ErrorRate: 12.0%
1550-th training, BestElite's ErrorRate: 12.0%
1551-th training, BestElite's ErrorRate: 12.0%
1552-th training, BestElite's ErrorRate: 12.0%
1553-th training, BestElite's ErrorRate: 12.0%
1554-th training, BestElite's ErrorRate: 12.0%
1555-th training, BestElite's ErrorRate: 12.0%
1556-th training, BestElite's ErrorRate: 12.0%
1557-th training, BestElite's ErrorRate: 12.0%
1558-th training, BestElite's ErrorRate: 12.0%
1559-th training, BestElite's ErrorRate: 12.0%
1560-th training, BestElite's ErrorRate: 12.0%
1561-th training, BestElite's ErrorRate: 12.0%
1562-th training, BestElite's ErrorRate: 12.0%
1563-th training, BestElite's ErrorRate: 12.0%
1564-th training, BestElite's ErrorRate: 12.0%
1565-th training, BestElite's ErrorRate: 12.0%
1566-th training, BestElite's ErrorRate: 12.0%
1567-th training, BestElite's ErrorRate: 12.0%
1568-th training, BestElite's ErrorRate: 12.0%
1569-th training, BestElite's ErrorRate: 12.0%
1570-th training, BestElite's ErrorRate: 12.0%
1571-th training, BestElite's ErrorRate: 12.0%
1572-th training, BestElite's ErrorRate: 12.0%
1573-th training, BestElite's ErrorRate: 12.0%
1574-th training, BestElite's ErrorRate: 12.0%
1575-th training, BestElite's ErrorRate: 12.0%
1576-th training, BestElite's ErrorRate: 12.0%
1577-th training, BestElite's ErrorRate: 12.0%
1578-th training, BestElite's ErrorRate: 12.0%
1579-th training, BestElite's ErrorRate: 12.0%
1580-th training, BestElite's ErrorRate: 12.0%
1581-th training, BestElite's ErrorRate: 12.0%
1582-th training, BestElite's ErrorRate: 12.0%
1583-th training, BestElite's ErrorRate: 11.0%
1584-th training, BestElite's ErrorRate: 11.0%
1585-th training, BestElite's ErrorRate: 11.0%
1586-th training, BestElite's ErrorRate: 11.0%
1587-th training, BestElite's ErrorRate: 11.0%
1588-th training, BestElite's ErrorRate: 11.0%
1589-th training, BestElite's ErrorRate: 11.0%
1590-th training, BestElite's ErrorRate: 11.0%
1591-th training, BestElite's ErrorRate: 11.0%
1592-th training, BestElite's ErrorRate: 11.0%
1593-th training, BestElite's ErrorRate: 11.0%
1594-th training, BestElite's ErrorRate: 11.0%
1595-th training, BestElite's ErrorRate: 11.0%
1596-th training, BestElite's ErrorRate: 11.0%
1597-th training, BestElite's ErrorRate: 11.0%
1598-th training, BestElite's ErrorRate: 11.0%
1599-th training, BestElite's ErrorRate: 11.0%
1600-th training, BestElite's ErrorRate: 11.0%
1601-th training, BestElite's ErrorRate: 11.0%
1602-th training, BestElite's ErrorRate: 11.0%
1603-th training, BestElite's ErrorRate: 11.0%
1604-th training, BestElite's ErrorRate: 11.0%
1605-th training, BestElite's ErrorRate: 11.0%
1606-th training, BestElite's ErrorRate: 11.0%
1607-th training, BestElite's ErrorRate: 11.0%
1608-th training, BestElite's ErrorRate: 11.0%
1609-th training, BestElite's ErrorRate: 11.0%
1610-th training, BestElite's ErrorRate: 11.0%
1611-th training, BestElite's ErrorRate: 11.0%
1612-th training, BestElite's ErrorRate: 11.0%
1613-th training, BestElite's ErrorRate: 11.0%
1614-th training, BestElite's ErrorRate: 11.0%
1615-th training, BestElite's ErrorRate: 11.0%
1616-th training, BestElite's ErrorRate: 11.0%
1617-th training, BestElite's ErrorRate: 11.0%
1618-th training, BestElite's ErrorRate: 11.0%
1619-th training, BestElite's ErrorRate: 11.0%
1620-th training, BestElite's ErrorRate: 11.0%
1621-th training, BestElite's ErrorRate: 11.0%
1622-th training, BestElite's ErrorRate: 11.0%
1623-th training, BestElite's ErrorRate: 11.0%
1624-th training, BestElite's ErrorRate: 11.0%
1625-th training, BestElite's ErrorRate: 11.0%
1626-th training, BestElite's ErrorRate: 11.0%
1627-th training, BestElite's ErrorRate: 11.0%
1628-th training, BestElite's ErrorRate: 11.0%
1629-th training, BestElite's ErrorRate: 11.0%
1630-th training, BestElite's ErrorRate: 11.0%
1631-th training, BestElite's ErrorRate: 11.0%
1632-th training, BestElite's ErrorRate: 11.0%
1633-th training, BestElite's ErrorRate: 11.0%
1634-th training, BestElite's ErrorRate: 11.0%
1635-th training, BestElite's ErrorRate: 11.0%
1636-th training, BestElite's ErrorRate: 11.0%
1637-th training, BestElite's ErrorRate: 11.0%
1638-th training, BestElite's ErrorRate: 11.0%
1639-th training, BestElite's ErrorRate: 11.0%
1640-th training, BestElite's ErrorRate: 11.0%
1641-th training, BestElite's ErrorRate: 11.0%
1642-th training, BestElite's ErrorRate: 11.0%
1643-th training, BestElite's ErrorRate: 11.0%
1644-th training, BestElite's ErrorRate: 11.0%
1645-th training, BestElite's ErrorRate: 11.0%
1646-th training, BestElite's ErrorRate: 11.0%
1647-th training, BestElite's ErrorRate: 11.0%
1648-th training, BestElite's ErrorRate: 11.0%
1649-th training, BestElite's ErrorRate: 11.0%
1650-th training, BestElite's ErrorRate: 11.0%
1651-th training, BestElite's ErrorRate: 11.0%
1652-th training, BestElite's ErrorRate: 11.0%
1653-th training, BestElite's ErrorRate: 11.0%
1654-th training, BestElite's ErrorRate: 11.0%
1655-th training, BestElite's ErrorRate: 11.0%
1656-th training, BestElite's ErrorRate: 11.0%
1657-th training, BestElite's ErrorRate: 11.0%
1658-th training, BestElite's ErrorRate: 11.0%
1659-th training, BestElite's ErrorRate: 11.0%
1660-th training, BestElite's ErrorRate: 11.0%
1661-th training, BestElite's ErrorRate: 11.0%
1662-th training, BestElite's ErrorRate: 11.0%
1663-th training, BestElite's ErrorRate: 11.0%
1664-th training, BestElite's ErrorRate: 11.0%
1665-th training, BestElite's ErrorRate: 11.0%
1666-th training, BestElite's ErrorRate: 11.0%
1667-th training, BestElite's ErrorRate: 11.0%
1668-th training, BestElite's ErrorRate: 11.0%
1669-th training, BestElite's ErrorRate: 11.0%
1670-th training, BestElite's ErrorRate: 11.0%
1671-th training, BestElite's ErrorRate: 11.0%
1672-th training, BestElite's ErrorRate: 11.0%
1673-th training, BestElite's ErrorRate: 11.0%
1674-th training, BestElite's ErrorRate: 11.0%
1675-th training, BestElite's ErrorRate: 11.0%
1676-th training, BestElite's ErrorRate: 11.0%
1677-th training, BestElite's ErrorRate: 11.0%
1678-th training, BestElite's ErrorRate: 11.0%
1679-th training, BestElite's ErrorRate: 11.0%
1680-th training, BestElite's ErrorRate: 11.0%
1681-th training, BestElite's ErrorRate: 11.0%
1682-th training, BestElite's ErrorRate: 11.0%
1683-th training, BestElite's ErrorRate: 11.0%
1684-th training, BestElite's ErrorRate: 11.0%
1685-th training, BestElite's ErrorRate: 11.0%
1686-th training, BestElite's ErrorRate: 11.0%
1687-th training, BestElite's ErrorRate: 11.0%
1688-th training, BestElite's ErrorRate: 11.0%
1689-th training, BestElite's ErrorRate: 11.0%
1690-th training, BestElite's ErrorRate: 11.0%
1691-th training, BestElite's ErrorRate: 11.0%
1692-th training, BestElite's ErrorRate: 11.0%
1693-th training, BestElite's ErrorRate: 11.0%
1694-th training, BestElite's ErrorRate: 11.0%
1695-th training, BestElite's ErrorRate: 11.0%
1696-th training, BestElite's ErrorRate: 11.0%
1697-th training, BestElite's ErrorRate: 11.0%
1698-th training, BestElite's ErrorRate: 11.0%
1699-th training, BestElite's ErrorRate: 11.0%
1700-th training, BestElite's ErrorRate: 11.0%
1701-th training, BestElite's ErrorRate: 11.0%
1702-th training, BestElite's ErrorRate: 11.0%
1703-th training, BestElite's ErrorRate: 11.0%
1704-th training, BestElite's ErrorRate: 11.0%
1705-th training, BestElite's ErrorRate: 11.0%
1706-th training, BestElite's ErrorRate: 11.0%
1707-th training, BestElite's ErrorRate: 11.0%
1708-th training, BestElite's ErrorRate: 11.0%
1709-th training, BestElite's ErrorRate: 11.0%
1710-th training, BestElite's ErrorRate: 11.0%
1711-th training, BestElite's ErrorRate: 11.0%
1712-th training, BestElite's ErrorRate: 11.0%
1713-th training, BestElite's ErrorRate: 11.0%
1714-th training, BestElite's ErrorRate: 11.0%
1715-th training, BestElite's ErrorRate: 11.0%
1716-th training, BestElite's ErrorRate: 11.0%
1717-th training, BestElite's ErrorRate: 11.0%
1718-th training, BestElite's ErrorRate: 13.0%
1719-th training, BestElite's ErrorRate: 13.0%
1720-th training, BestElite's ErrorRate: 13.0%
1721-th training, BestElite's ErrorRate: 13.0%
1722-th training, BestElite's ErrorRate: 13.0%
1723-th training, BestElite's ErrorRate: 13.0%
1724-th training, BestElite's ErrorRate: 13.0%
1725-th training, BestElite's ErrorRate: 13.0%
1726-th training, BestElite's ErrorRate: 13.0%
1727-th training, BestElite's ErrorRate: 13.0%
1728-th training, BestElite's ErrorRate: 13.0%
1729-th training, BestElite's ErrorRate: 13.0%
1730-th training, BestElite's ErrorRate: 13.0%
1731-th training, BestElite's ErrorRate: 13.0%
1732-th training, BestElite's ErrorRate: 13.0%
1733-th training, BestElite's ErrorRate: 13.0%
1734-th training, BestElite's ErrorRate: 13.0%
1735-th training, BestElite's ErrorRate: 13.0%
1736-th training, BestElite's ErrorRate: 13.0%
1737-th training, BestElite's ErrorRate: 13.0%
1738-th training, BestElite's ErrorRate: 13.0%
1739-th training, BestElite's ErrorRate: 13.0%
1740-th training, BestElite's ErrorRate: 13.0%
1741-th training, BestElite's ErrorRate: 13.0%
1742-th training, BestElite's ErrorRate: 13.0%
